"","sampleID","uniqueID","siteID","site","type","mesq_type","litterdepth","SWC","TOC","pH","BG","CB","NAG","PHOS","XYL","AG","LAP","DOC","MBC","DON","MBN","OM.","NH4i","NH4f","NO3i","NO3f","nminer","DNAconc.ng.µL","dna"
"1","A1bare",90,"A1","A","bare","bare",0,0.037703744,0.167,5.79,17.61209341,1e-08,14.86518151,118.4722351,1e-08,0.451973178,3.092748017,22.555,70.31111111,0.5755,7.938888889,0.645136367,2.076111416,2.334554447,3.222890408,2.922451472,-0.0419959049999994,4.111,4.111
"2","A1grass",91,"A1","A","grass","grass",1.65,0.073376275,0.231,6.41,98.61247648,24.43250146,55.09878143,152.8661242,20.63636725,14.51662063,72.22842022,69.7,252.5444444,15.1205,35.08703704,0.868519006,4.31930066,2.87606565,9.116936367,9.284364513,-1.275806864,19.951,19.951
"3","A1mesq1-1BOLE",92,"A1","A","mesq","bole",1.5,0.085456458,0.476,6.12,73.59618012,7.42992128,9.86788218,126.4999317,6.674153401,3.675461493,16.71798946,188.8,348.3222222,81.6205,31.06851852,1.809266791,13.66775284,11.9476444,46.56757108,48.408211,0.120531480000004,27.852,27.852
"4","A1mesq1-1DRIP",94,"A1","A","mesq","drip",1.7,0.062946505,0.307,6.24,58.36901802,9.371877611,12.46484567,139.6862616,8.227730888,4.996459375,59.49089409,87.95,314.4333333,23.7655,41.07777778,1.1607683,2.409556326,3.583480414,17.89652157,19.73845766,3.015860178,13.954,13.954
"5","A1mesq1-1MIDD",93,"A1","A","mesq","midd",1.5,0.068149288,0.603,6.02,72.05660152,7.716228119,15.80921585,137.4282144,9.666615744,9.913216479,26.22062505,255.4,623.5444444,71.0705,63.93888889,2.305310242,8.275514301,7.98439353,40.65082839,37.35402549,-3.58792367100001,36.113,36.113
"6","A2bare",71,"A2","A","bare","bare",0,0.023687416,0.159,6.49,63.17573887,12.20900945,18.53950921,98.94926887,11.86145261,8.286582154,52.28323581,40.405,92.42222222,5.972,1.30462963,0.591561872,1.82354144,1.78279976,1.666133953,1.227206192,-0.479669441,12.323,12.323
"7","A2grass",72,"A2","A","grass","grass",0.2,0.058442863,0.259,6.23,90.23116635,15.26600334,13.07315512,162.8233447,15.20551097,8.521104669,73.33954844,75.655,306.2,14.937,31.24907407,0.950528479,3.292106452,2.433995223,12.88392924,11.26435095,-2.477689519,16.592,16.592
"8","A2mesq1-1BOLE",73,"A2","A","mesq","bole",0.4,0.029637636,0.337,5.29,69.11940004,13.28608303,28.10856908,171.0020215,6.138481058,7.134458381,3.501326886,121,165.9888889,51.3705,15.79074074,1.271554164,13.26922337,13.32133974,29.37292939,27.5485525,-1.77226052,7.455,7.455
"9","A2mesq1-1DRIP",75,"A2","A","mesq","drip",1.4,0.03869567,0.226,6.05,32.42715613,5.024425932,8.604355055,60.35060329,5.848894458,2.485930736,8.346979124,88.3,179.9888889,26.8655,12.42037037,0.883710018,8.382518089,8.829947857,14.90126994,15.26594113,0.812100958000002,9.855,9.855
"10","A2mesq1-1MIDD",74,"A2","A","mesq","midd",2.1,0.060334864,0.271,5.98,72.93227497,7.781058336,25.86853631,223.3789563,9.898321643,26.53396192,29.20418892,69.8,268.9888889,31.6605,33.95740741,1.005827117,18.70649166,18.62939133,19.78771968,23.09522879,3.23040878,17.2,17.2
